Sample	Station_code	Tid_provetak	Year	Month	Day	Station	Sesong	Region	Latitude	Longitude	KLFA	N-NH4	N-SNOX	N-TOT	P-PO4	P-TOT	SALIN	SI-SIO2	TEMP
VR21.2020-01-30	VR21	30.01.2020 00:00	2020	Jan	30	Bugøynes (Varangerfjorden)	Vinter	Barentshavet	1064219.5	7830545.300000001	0.42	29	123	360	85	93	34.305	540	3.4605
VR21.2020-02-26	VR21	26.02.2020 00:00	2020	Feb	26	Bugøynes (Varangerfjorden)	Vinter	Barentshavet	1064219.5	7830545.300000001	0.16	69	113	410	23	27	NA	270	NA
VR21.2020-03-12	VR21	12.03.2020 00:00	2020	Mar	12	Bugøynes (Varangerfjorden)	Vår	Barentshavet	1064219.5	7830545.300000001	0.16	62	116	390	20	24	34.32	290	2.719
VR21.2020-04-16	VR21	16.04.2020 00:00	2020	Apr	16	Bugøynes (Varangerfjorden)	Vår	Barentshavet	1064219.5	7830545.300000001	0.22	119	108	500	21	27	34.33	300	2.764
VR21.2020-05-19	VR21	19.05.2020 00:00	2020	May	19	Bugøynes (Varangerfjorden)	Vår	Barentshavet	1064219.5	7830545.300000001	2.4	17	8	270	9	23	34.4	56	4.213
VR21.2020-06-17	VR21	17.06.2020 00:00	2020	Jun	17	Bugøynes (Varangerfjorden)	Sommer	Barentshavet	1064219.5	7830545.300000001	0.68	39	3	160	10	22	NA	220	NA
VR21.2020-07-15	VR21	15.07.2020 00:00	2020	Jul	15	Bugøynes (Varangerfjorden)	Sommer	Barentshavet	1064219.5	7830545.300000001	0.23	11	1	190	3	12	32.31333	71	9.797
VR21.2020-08-26	VR21	26.08.2020 00:00	2020	Aug	26	Bugøynes (Varangerfjorden)	Sommer	Barentshavet	1064219.5	7830545.300000001	0.21	20	3	180	3	11	33.23	48	11.41
VR21.2020-09-30	VR21	30.09.2020 00:00	2020	Sep	30	Bugøynes (Varangerfjorden)	Høst	Barentshavet	1064219.5	7830545.300000001	0.38	31	18	180	9	17	33.98	48	9.261
VR21.2020-10-27	VR21	27.10.2020 00:00	2020	Oct	27	Bugøynes (Varangerfjorden)	Høst	Barentshavet	1064219.5	7830545.300000001	0.21	28	45	170	12	18	33.86	120	8.01
VR21.2020-11-11	VR21	11.11.2020 00:00	2020	Nov	11	Bugøynes (Varangerfjorden)	Høst	Barentshavet	1064219.5	7830545.300000001	0.21	28	84	240	14	20	NA	140	NA
VR21.2020-12-08	VR21	08.12.2020 00:00	2020	Dec	8	Bugøynes (Varangerfjorden)	Vinter	Barentshavet	1064219.5	7830545.300000001	0.16	30	72	220	14	21	34.29	190	5.533
VR24.2020-01-18	VR24	18.01.2020 00:00	2020	Jan	18	Tanafjorden Midtre	Vinter	Barentshavet	987625	7903433.199999999	0.16	12	109	190	17	20	34.17	190	4.602
VR24.2020-02-22	VR24	22.02.2020 00:00	2020	Feb	22	Tanafjorden Midtre	Vinter	Barentshavet	987625	7903433.199999999	0.16	5	116	170	19	24	34.29	240	3.639
VR24.2020-04-10	VR24	10.04.2020 00:00	2020	Apr	10	Tanafjorden Midtre	Vår	Barentshavet	987625	7903433.199999999	0.41	9	118	200	20	30	34.43	280	3.583
VR24.2020-05-02	VR24	02.05.2020 00:00	2020	May	2	Tanafjorden Midtre	Vår	Barentshavet	987625	7903433.199999999	2.1	8	52	120	12	23	34.468	91	3.72
VR24.2020-05-31	VR24	31.05.2020 00:00	2020	May	31	Tanafjorden Midtre	Vår	Barentshavet	987625	7903433.199999999	2.3	9	26	140	16	25	34.36	150	6.01733
VR24.2020-06-22	VR24	22.06.2020 00:00	2020	Jun	22	Tanafjorden Midtre	Sommer	Barentshavet	987625	7903433.199999999	2.5	15	3	120	8	23	32.88	170	7.694
VR24.2020-07-22	VR24	22.07.2020 00:00	2020	Jul	22	Tanafjorden Midtre	Sommer	Barentshavet	987625	7903433.199999999	2.1	37	2	170	7	19	33.21	170	8.56
VR24.2020-08-23	VR24	23.08.2020 00:00	2020	Aug	23	Tanafjorden Midtre	Sommer	Barentshavet	987625	7903433.199999999	1.2	36	4	140	8	17	33.63	70	9.782
VR24.2020-09-12	VR24	12.09.2020 00:00	2020	Sep	12	Tanafjorden Midtre	Høst	Barentshavet	987625	7903433.199999999	1	5	2	200	4	17	32.93	210	10.1125
VR24.2020-10-17	VR24	17.10.2020 00:00	2020	Oct	17	Tanafjorden Midtre	Høst	Barentshavet	987625	7903433.199999999	0.67	9	39	260	11	18	33.79	100	8.476
VR24.2020-11-21	VR24	21.11.2020 00:00	2020	Nov	21	Tanafjorden Midtre	Høst	Barentshavet	987625	7903433.199999999	0.16	5	74	160	12	19	33.97	160	7.02
VR24.2020-12-04	VR24	04.12.2020 00:00	2020	Dec	4	Tanafjorden Midtre	Vinter	Barentshavet	987625	7903433.199999999	0.16	7	80	170	12	21	34.02	170	6.607
VR31.2020-01-29	VR31	29.01.2020 00:00	2020	Jan	29	Tilremfjorden	Vinter	Norskehavet Sør II	372600.7000000002	7278221.699999999	0.16	6	95	160	15	18	32.6	230	5.53
