Match	LatinskNavn_id	name	Classification	Trophy	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Classification_1
Acanthoica	117134	Acanthoica_quattrospina	Haptophyta	Phototroph	"NA"	"NA"	"NA"	Prymnesiophyceae	NA	"NA"	Acanthoica	Acanthoica quattrospina	Haptophyta
Acanthostomella	147863	Acanthostomella_norvegica	Ciliophora	Heterotroph	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Acanthostomella norvegica	Ciliophora
Achnanthes	117721	Achnanthes_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthes	Achnanthes (Slekt)	Diatoms
Achnanthes	-791	Achnanthes_2-3x10_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthes	Achnanthes 2-3x10 µm	Diatoms
Achnanthes	-1015	Achnanthes_3.5-4.5x17-22_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthes	Achnanthes 3.5-4.5x17-22 µm	Diatoms
Actiniscus	118278	Actiniscus_pentasterias	Dinoflagellata	"NA"	"NA"	"NA"	"NA"	Dinophyceae	Gymnodiniales	"NA"	"NA"	Actiniscus pentasterias	Dinoflagellata
Actinoptychus	117452	Actinoptychus_senarius	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Actinoptychus	Actinoptychus senarius	Diatoms
Akashiwo	118298	Akashiwo_sanguinea	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Akashiwo sanguinea	Dinoflagellata
Alexandrium	118400	Alexandrium_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium (Slekt)	Dinoflagellata
Alexandrium	-500	Alexandrium_23-25x23-25_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 23-25x23-25 µm	Dinoflagellata
Alexandrium	-501	Alexandrium_26-29x27_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 26-29x27 µm	Dinoflagellata
Alexandrium	-502	Alexandrium_30-32x33_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 30-32x33 µm	Dinoflagellata
Alexandrium	-503	Alexandrium_33-40x40_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 33-40x40 µm	Dinoflagellata
Alexandrium	118401	Alexandrium_minutum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium minutum	Dinoflagellata
Alexandrium_ostenfeldii	118402	Alexandrium_ostenfeldii	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium ostenfeldii	Dinoflagellata
Alexandrium	118403	Alexandrium_pseudogonyaulax	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium pseudogonyaulax	Dinoflagellata
Alexandrium	118404	Alexandrium_tamarense	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium tamarense	Dinoflagellata
Algirosphaera	117135	Algirosphaera_(Slekt)	Other_protists	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera (Slekt)	Haptophyta
Algirosphaera	-504	Algirosphaera_10_µm	Haptophyta	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera 10 µm	Haptophyta
Algirosphaera	117137	Algirosphaera_quadricornu	Other_protists	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera quadricornu	Haptophyta
Algirosphaera_robusta	117138	Algirosphaera_robusta	Other_protists	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera robusta	Haptophyta
Amphidiniopsis	147434	Amphidiniopsis_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidiniopsidaceae	Amphidiniopsis	Amphidiniopsis (Slekt)	Dinoflagellata
Amphidinium	118299	Amphidinium_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium (Slekt)	Dinoflagellata
Amphidinium	-1003	Amphidinium_>10_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium >10 µm	Dinoflagellata
Amphidinium	-793	Amphidinium_10-15_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 10-15 µm	Dinoflagellata
Amphidinium	-794	Amphidinium_15-20_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 15-20 µm	Dinoflagellata
Amphidinium	-505	Amphidinium_20-25_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 20-25 µm	Dinoflagellata
